ACT_SEGREG,AREA_HA,AREA_M2,ARROJO_RR1,ARROJO_RR_,CANT_RRSS,CATEGORIA,CRIANZA_AN,DEN_BOT,DEPARTAMEN,DISTRITO,ESTE,Index,M_ADM_BOT,M_DISP_RRS,NORTE,PERIMETRO,PROVINCIA,QUEMA_BASU,ZONA
Si,6.05481838,60548.1837685,No,No,47,Recuperación,No,Botadero El Cebollar,Arequipa,Paucarpata,236441.0,853,Municipalidad distrital de Paucarpata,Municipalidad distrital de Paucarpata,8181866.0,1390.25760348,Arequipa,Si,19
No,0.10248557,1024.85572649,No,No,"0,2",Recuperación,No,Botadero S/N,Arequipa,Polobaya,250144.0,1123,Municipalidad distrital de Polobaya,Municipalidad distrital de Polobaya,8165263.0,124.07476108,Arequipa,Si,19
No,0.87815833,8781.58328344,No,No,0,Recuperación,No,Botadero S/N,Arequipa,Mariano Melgar,234808.0,1350,Municipalidad distrital de Mariano Melgar,Municipalidad distrital de Mariano Melgar,8186867.0,360.06397048,Arequipa,Si,19
Si,3.11196449,31119.6448827,No,No,No precisa,Recuperación,No,Botadero S/N,Arequipa,La Joya,192654.0,1528,Municipalidad distrital de La Joya,No precisa,8170656.0,716.96074669,Arequipa,Si,19
No,0.16489396,1648.93962999,No,No,"0,3",Recuperación,No,Botadero S/N,Arequipa,Santa Isabel de Siguas,805823.0,1649,Municipalidad distrital de San Juan de Siguas,Municipalidad distrital de San Juan de Siguas,8191008.0,180.98203013,Arequipa,Si,18
Si,0.47680894,4768.08941603,No,No,"0,2",Recuperación,No,Botadero S/N,Arequipa,Vitor,184107.0,1661,Municipalidad distrital de Vitor,Municipalidad distrital de Vitor,8176069.0,373.01083887,Arequipa,Si,19
No,0.01009644,100.9644263,No,No,"0,2",Recuperación,No,Botadero S/N,Arequipa,Pocsi,244938.0,1662,Municipalidad distrital de Pocsi,Municipalidad distrital de Pocsi,8172208.0,41.36978753,Arequipa,Si,19
Si,0.16013858,1601.38579666,No,No,"0,8",Recuperación,No,Botadero S/N,Arequipa,Quilca,774923.0,219,Municipalidad distrital de Quilca,Municipalidad distrital de Quilca,8150970.0,185.94291026,Camaná,Si,18
Si,1.1174902,11174.9020362,No,No,"0,7",Recuperación,No,Botadero S/N,Arequipa,Ocoña,700851.0,223,Municipalidad distrital de Ocoña,Municipalidad distrital de Ocoña,8181059.0,458.55687105,Camaná,Si,18
Si,0.27185098,2718.50977938,No,Si,"0,2",Recuperación,No,Botadero S/N,Arequipa,Mariano Nicolás Valcárcel,695028.0,830,Municipalidad distrital de Mariano Nicolas Valcarcel,Municipalidad distrital de Mariano Nicolas Valcarcel,8231211.0,202.94302575,Camaná,Si,18
